Words			Original Roots		Predicted roots
बिहार		बिहार			बनहार
के		का			का
महिला		महिला			महनला
आयोग		आयोग			थथोग
ने		ने			िे
बॉलीवुड		बॉलीवुड			बझलीवुड
गायक		गायक			गापक
उदित		उदित			आदनत
नारायण		नारायण			िारापण
की		का			का
पहली		पहला			यहली
पत्नी		पत्नी			यत्िी
होने		हो			हो
का		का			का
दावा		दावा			दावा
करने		कर			कर
वाली		वाला			वाला
महिला		महिला			महनला
की		का			का
शिकायत		शिकायत			एनकापत
पर		पर			यर
उन्हें		वह			आो
सोमवार		सोमवार			सोमवार
को		को			को
सम्मन		सम्मन			सम्मि
भेजा		भेज			भेज
है		है			ह।
।		।			ै
राज्य		राज्य			राज्प
के		का			का
महिला		महिला			महनला
आयोग		आयोग			थथोग
की		का			का
अध्यक्ष		अध्यक्ष			चू्पक्ष
मंजू		मंजू			मंजइ
प्रकाश		प्रकाश			य्रााए
ने		ने			िे
उदित		उदित			आदनत
नारायण		नारायण			िारापण
को		को			को
यह		यह			पह
नोटिस		नोटिस			िइननस
उनके		वह			आि
मुंबई		मुंबई			मुंबफ
के		का			का
पते		पता			यता
पर		पर			यर
भेजा		भेज			भेज
है		है			ह।
।		।			ै
उन्होंने		वह			रहहोंि
कहा		कह			कह
कि		कि			कन
पहली		पहला			यहली
पत्नी		पत्नी			यत्िी
होने		हो			हो
का		का			का
दावा		दावा			दावा
करने		कर			कर
वाली		वाला			वाला
रंजना		रंजना			रंजिा
नारायण		नारायण			िारापण
की		का			का
शिकायत		शिकायत			एनकापत
के		का			का
आधार		आधार			थूार
पर		पर			यर
उन्होंने		वह			रहहोंि
पंद्रह		पंद्रह			यंद्रह
दिन		दिन			दनि
के		के			का
अंदर		अंदर			चंदर
अपना		अपना			चयिा
स्पष्टीकरण		स्पष्टीकरण			स्यष्अीकरण
देने		दे			दे
के		के			का
लिए		लिए			लनश
कहा		कह			कह
है		है			ह।
।		।			ै
आयोग		आयोग			थथोग
ने		ने			िे
शनिवार		शनिवार			एिनवार
को		को			को
रंजना		रंजना			रंजिा
की		का			का
शिकायत		शिकायत			एनकापत
को		को			को
प्रथम		प्रथम			य्रउम
दृष्टया		दृष्टया			दॉष्पपा
सही		सही			सही
पाया		पा			यापा
था		था			उा
।		।			ै
मंजू		मंजू			मंजइ
प्रकाश		प्रकाश			य्रााए
ने		ने			िे
कहा		कह			कह
कि		कि			कन
बैंक		बैंक			बउंक
की		का			का
पासबुक		पासबुक			यासबुक
,		COMMA			औ
राशन		राशन			राएि
कार्ड		कार्ड			कार्ड
और		और			Uर
अन्य		अन्य			चि्प
परिस्थितिजन्य		परिस्थितिजन्य			इइइस््नतनज्प
साक्ष्यों		साक्ष्य			साक्ष्प
को		को			को
देखते		देख			देख
हुए		हो			हुश
लगता		लग			लग
है		है			ह।
कि		कि			कन
गायक		गायक			गापक
उदित		उदित			आदनत
नारायण		नारायण			िारापण
की		का			का
रंजना		रंजना			रंजिा
से		से			से
शादी		शादी			एादी
हुई		हो			हैफ
थी		था			वी
।		।			ै
उन्होंने		वह			रहहोंि
कहा		कह			कह
कि		कि			कन
आयोग		आयोग			थथोग
इस		यह			धस
मामले		मामला			मामला
में		में			में
अब		अब			चब
कानूनी		कानूनी			कािइइी
कार्रवाई		कार्रवाई			कार्रवाफ
करेगा		कर			कर
।		।			ै
रंजना		रंजना			रंजिा
चाहती		चाह			टाहती
हैं		है			है
कि		कि			कन
उदित		उदित			आदनत
उन्हें		वह			आो
उनका		वह			आिक
हक		हक			हक
दें		दे			दे
।		।			ै
वे		वह			वह
काफी		काफी			काईी
समय		समय			समप
से		से			से
उदित		उदित			आदनत
से		से			से
अलग		अलग			चलग
रह		रह			रह
रही		रह			रह
हैं		है			है
।		।			ै
भारी		भारी			भारी
बारिश		बारिश			बारनए
के		के			का
कारण		कारण			कारण
दोनों		दो			दो
मार्गों		मार्ग			मार्ग
में		में			में
फिसलन		फिसलन			ईनसलि
को		को			को
देखते		देख			देख
हुए		हो			हुश
अधिकारियों		अधिकारी			चूनकारनप
ने		ने			िे
यात्रा		यात्रा			पात्रा
स्थगित		स्थगित			स्उगनत
कर		कर			कर
दी		दे			दे
थी		था			वी
।		।			ै
उधर		उधर			आूर
जम्मू		जम्मू			जम्मइ
से		से			से
प्राप्त		प्राप्त			य्राय्त
रिपोर्ट		रिपोर्ट			रनयोो्अ
के		के			का
मुताबिक		मुताबिक			मुताबनक
बुधवार		बुधवार			बुूवार
को		को			को
एमएएम		एमएएम			शमशशम
स्थित		स्थित			स्उनत
बेस		बेस			बेस
कैंप		कैंप			क।ँंयययययययययययययय
से		से			से
यात्रियों		यात्री			पात्रनप
को		को			को
आगे		आगे			थग
बढ़ने		बढ़			बपृिा
की		का			का
इजाज़त		इजाजत			धजाजृत
नहीं		नहीं			िह
दी		दे			दे
गई		जा			गँ
।		।			ै
नुनवान		नुनवान			िििवाि
व		व			व
बालटाल		बालटाल			बालाल
बेस		बेस			बेस
कैंप		कैंप			क।ँंयययययययययययययय
में		में			में
श्रद्धालुओं		श्रद्धालु			ए्रद्ूालु
की		का			का
भीड़		भीड़			भीडृ
को		को			को
देखते		देख			देख
हुए		हो			हुश
नए		नया			िश
जत्थे		जत्था			जत्ा
को		को			को
आगे		आगे			थग
बढ़ने		बढ़			बपृिा
की		का			का
इजाज़त		इजाजत			धजाजृत
नहीं		नहीं			िह
दी		दे			दे
गई		जा			गँ
।		।			ै
अब		अब			चब
तक		तक			तक
1.25		1.25			ढठ३
लाख		लाख			लाख
श्रद्धालुओं		श्रद्धालु			ए्रद्ूालु
ने		ने			िे
अमरनाथ		अमरनाथ			चमरिाउ
में		में			में
पवित्र		पवित्र			यवनत्र
हिम		हिम			हनम
शिवलिंग		शिवलिंग			एनवलनंग
का		का			का
दर्शन		दर्शन			दर्एि
किया		कर			ककपा
है		है			ह।
।		।			ै
लोक		लोक			लोक
जनशक्ति		जनशक्ति			जिएक्तन
पार्टी		पार्टी			यार्अी
नेता		नेता			िे
राम		राम			राम
विलास		विलास			वनलास
पासवान		पासवान			यासवाि
ने		ने			िे
